Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,13.947352691708428,inf,12.880214571102336,360.42857450454323,0.9684320997731825
Random Forest Regressor,16.924930252262993,inf,22.52439705176888,793.8017265897017,0.9304753965766847
Support Vector Regressor,58.34383478643791,inf,91.9016771786255,11849.921325831456,-0.03786758478764907
Kernel Ridge Regressor,47.92634492159577,inf,63.6453659472121,6347.6671440983155,0.4440437377824549
K-NN Regressor,40.004198638938945,inf,52.2956529244889,4335.171223542289,0.6203068726194219
Gaussian Process Regressor,0.000547654220219379,inf,0.0006263173321962429,6.921985455335151e-07,0.9999999999393743
Gradient Boosting Regressor,15.179598497498638,inf,12.025857521126994,375.0414596637097,0.9671522398137865
TPOT Regressor,19.16758767672391,inf,17.919202721934905,688.4942435346977,0.9396986833895778
Ensemble Model,16.737511936038164,inf,18.117380225212763,608.3837720339504,0.9467151064768295
